"NEW_BP"|"MONTO_LPS"|"FECHA_TRANSACCION"|"CANAL"
"1572329446"|5501.17|2024-06-04|"CREDITO CUENTA"
"1572397942"|2024.58|2024-05-24|"CREDITO CUENTA"
"1572027650"|9677.93|2024-06-07|"CREDITO CUENTA"
"1571694855"|3704.18|2024-05-18|"CREDITO CUENTA"
"1572198139"|4800.00|2024-05-07|"CREDITO CUENTA"
"1572198139"|3125.00|2024-05-29|"CREDITO CUENTA"
"1572198139"|500.00|2024-05-04|"CREDITO CUENTA"
"1572198139"|501.00|2024-05-07|"CREDITO CUENTA"
"1572381007"|7000.00|2024-06-13|"CREDITO CUENTA"
"1572381007"|65022.80|2024-06-29|"CREDITO CUENTA"
"1572381007"|20004.08|2024-06-13|"CREDITO CUENTA"
"1572309885"|7371.99|2024-05-11|"CREDITO CUENTA"
"1572309885"|9864.08|2024-05-04|"CREDITO CUENTA"
"1572309885"|12330.05|2024-05-25|"CREDITO CUENTA"
"1572309885"|5426.61|2024-05-12|"CREDITO CUENTA"
"1572309885"|7403.64|2024-06-19|"CREDITO CUENTA"
"1572279076"|4880.00|2024-05-13|"CREDITO CUENTA"
"1572229742"|4944.00|2024-06-29|"CREDITO CUENTA"
"1572229742"|34580.00|2024-06-20|"CREDITO CUENTA"
"1572408582"|13518.54|2024-05-27|"CREDITO CUENTA"
"1572001005"|2469.00|2024-05-02|"CREDITO CUENTA"
"1572001005"|5679.00|2024-05-28|"CREDITO CUENTA"
"1572805159"|4717.01|2024-06-13|"CREDITO CUENTA"
"1571650558"|19406.27|2024-05-10|"CREDITO CUENTA"
"1571650558"|12646.65|2024-05-10|"CREDITO CUENTA"
"1571650558"|8850.09|2024-05-28|"CREDITO CUENTA"
"1571650558"|2299.94|2024-05-07|"CREDITO CUENTA"
"1571650558"|2000.13|2024-06-09|"CREDITO CUENTA"
"1571650558"|5599.93|2024-06-17|"CREDITO CUENTA"
"1579284264"|3802.34|2024-05-27|"CREDITO CUENTA"
"1579284264"|3809.85|2024-06-27|"CREDITO CUENTA"
"1581521389"|11128.50|2024-06-29|"CREDITO CUENTA"
"1581521389"|7409.01|2024-05-15|"CREDITO CUENTA"
"1581521389"|26670.79|2024-05-05|"CREDITO CUENTA"
"1581521389"|11113.56|2024-05-10|"CREDITO CUENTA"
"1581521389"|6171.68|2024-06-03|"CREDITO CUENTA"
"1581521389"|9876.00|2024-06-01|"CREDITO CUENTA"
"1581521389"|14808.00|2024-06-07|"CREDITO CUENTA"
"1581521389"|12844.00|2024-06-19|"CREDITO CUENTA"
"1581521389"|12360.00|2024-06-22|"CREDITO CUENTA"
"1572402967"|3000.00|2024-06-28|"CREDITO CUENTA"
"1572402967"|4000.00|2024-05-11|"CREDITO CUENTA"
"1572402967"|9400.00|2024-06-08|"CREDITO CUENTA"
"1572402967"|1000.00|2024-06-14|"CREDITO CUENTA"
"1572402967"|2470.00|2024-05-25|"CREDITO CUENTA"
"1581474892"|18555.00|2024-06-30|"CREDITO CUENTA"
"1581474892"|20039.40|2024-06-30|"CREDITO CUENTA"
"1581474892"|2603.44|2024-05-01|"CREDITO CUENTA"
"1581474892"|26788.65|2024-05-04|"CREDITO CUENTA"
"1581474892"|7706.40|2024-06-17|"CREDITO CUENTA"
"1581474892"|30260.54|2024-05-23|"CREDITO CUENTA"
"1572408029"|5000.00|2024-06-29|"CREDITO CUENTA"
"1578078810"|7417.98|2024-06-24|"CREDITO CUENTA"
"1578078810"|3464.23|2024-06-30|"CREDITO CUENTA"
"1578078810"|3704.52|2024-05-11|"CREDITO CUENTA"
"1578078810"|12345.25|2024-05-26|"CREDITO CUENTA"
"1578078810"|40439.61|2024-05-29|"CREDITO CUENTA"
"1578078810"|8386.13|2024-05-09|"CREDITO CUENTA"
"1578078810"|8630.82|2024-06-10|"CREDITO CUENTA"
"1578078810"|3700.95|2024-06-17|"CREDITO CUENTA"
"1578078810"|4692.39|2024-05-11|"CREDITO CUENTA"
"1578078810"|3703.48|2024-06-10|"CREDITO CUENTA"
"1578078810"|3702.63|2024-05-01|"CREDITO CUENTA"
"1571600211"|247.00|2024-05-11|"CREDITO CUENTA"
"1571600211"|14820.00|2024-05-15|"CREDITO CUENTA"
"1571600211"|12838.80|2024-06-07|"CREDITO CUENTA"
"1571600211"|8641.50|2024-06-06|"CREDITO CUENTA"
"1571600211"|3002.30|2024-06-09|"CREDITO CUENTA"
"1572660979"|3300.11|2024-06-13|"CREDITO CUENTA"
"1572761391"|4814.55|2024-06-05|"CREDITO CUENTA"
"1572761391"|4940.00|2024-05-15|"CREDITO CUENTA"
"1572761391"|3703.50|2024-05-30|"CREDITO CUENTA"
"1572761391"|10060.06|2024-05-15|"CREDITO CUENTA"
"1572761391"|2224.80|2024-06-20|"CREDITO CUENTA"
"1572761391"|15017.60|2024-06-13|"CREDITO CUENTA"
"1572761391"|1556.73|2024-06-19|"CREDITO CUENTA"
"1577710733"|7371.99|2024-05-11|"CREDITO CUENTA"
"1577710733"|15975.83|2024-06-22|"CREDITO CUENTA"
"1577728091"|7656.00|2024-05-08|"CREDITO CUENTA"
"1577728091"|3210.00|2024-05-25|"CREDITO CUENTA"
"1577728091"|3704.00|2024-06-08|"CREDITO CUENTA"
"1577728091"|22234.00|2024-06-15|"CREDITO CUENTA"
"1577728091"|3091.00|2024-06-22|"CREDITO CUENTA"
"1577728091"|22254.00|2024-06-22|"CREDITO CUENTA"
"1572280001"|9886.30|2024-06-20|"CREDITO CUENTA"
"1571546041"|24730.00|2024-06-23|"CREDITO CUENTA"
"1571546041"|24690.00|2024-05-24|"CREDITO CUENTA"
"1571546041"|24686.70|2024-06-01|"CREDITO CUENTA"
"1571546041"|12347.25|2024-05-19|"CREDITO CUENTA"
"1572243876"|3709.00|2024-06-24|"CREDITO CUENTA"
"1572243876"|3000.00|2024-05-10|"CREDITO CUENTA"
"1572243876"|741.00|2024-05-10|"CREDITO CUENTA"
"1572396122"|12349.00|2024-05-11|"CREDITO CUENTA"
"1572396122"|2454.82|2024-06-13|"CREDITO CUENTA"
"1572396122"|3685.06|2024-05-04|"CREDITO CUENTA"
"1572396122"|3686.00|2024-05-12|"CREDITO CUENTA"
"1572283484"|7407.00|2024-06-09|"CREDITO CUENTA"
"1572079168"|4082.69|2024-06-28|"CREDITO CUENTA"
"1572079168"|10000.94|2024-05-17|"CREDITO CUENTA"
"1580699012"|372.00|2024-06-27|"CREDITO CUENTA"
"1580699012"|593.00|2024-05-04|"CREDITO CUENTA"
"1580699012"|1235.00|2024-05-13|"CREDITO CUENTA"
"1579261774"|7656.01|2024-05-13|"CREDITO CUENTA"
"1572951467"|17318.00|2024-06-27|"CREDITO CUENTA"
"1572951467"|19752.00|2024-05-03|"CREDITO CUENTA"
"1572951467"|24700.00|2024-05-16|"CREDITO CUENTA"
"1572951467"|18517.50|2024-05-30|"CREDITO CUENTA"
"1572951467"|19760.00|2024-06-13|"CREDITO CUENTA"
"1580942459"|3012.18|2024-05-26|"CREDITO CUENTA"
"1580942459"|8009.28|2024-06-21|"CREDITO CUENTA"
"1580942459"|3813.19|2024-06-04|"CREDITO CUENTA"
"1580942459"|1539.80|2024-06-17|"CREDITO CUENTA"
"1580942459"|1234.50|2024-05-22|"CREDITO CUENTA"
"1579331074"|4444.00|2024-05-30|"CREDITO CUENTA"
"1572206729"|17308.62|2024-06-23|"CREDITO CUENTA"
"1572206729"|18891.06|2024-05-08|"CREDITO CUENTA"
"1572206729"|37035.75|2024-05-27|"CREDITO CUENTA"
"1571978229"|740.66|2024-05-29|"CREDITO CUENTA"
"1571978229"|740.61|2024-05-31|"CREDITO CUENTA"
"1580556777"|4900.00|2024-05-30|"CREDITO CUENTA"
"1580556777"|2905.00|2024-05-07|"CREDITO CUENTA"
"1571591328"|8000.00|2024-06-30|"CREDITO CUENTA"
"1572976928"|2399.00|2024-06-23|"CREDITO CUENTA"
"1572976928"|1112.00|2024-05-15|"CREDITO CUENTA"
"1572976928"|2099.00|2024-05-21|"CREDITO CUENTA"
"1572976928"|1161.00|2024-06-07|"CREDITO CUENTA"
"1572976928"|1483.00|2024-06-15|"CREDITO CUENTA"
"1572976928"|1236.00|2024-06-20|"CREDITO CUENTA"
"1572974950"|6049.05|2024-06-06|"CREDITO CUENTA"
"1572278058"|1236.35|2024-06-25|"CREDITO CUENTA"
